date,index
2012/01/16,2345.649
2012/01/17,2460.601
2012/01/18,2422.189
2012/01/19,2468.35
2012/01/20,2504.086
2012/01/30,2460.72
2012/01/31,2464.26
2012/02/01,2428.994
2012/02/02,2486.238
2012/02/03,2506.09
2012/02/06,2504.322
2012/02/07,2457.954
2012/02/08,2528.236
2012/02/09,2529.231
2012/02/10,2533.624
2012/02/13,2531.981
2012/02/14,2522.107
2012/02/15,2549.607
2012/02/16,2536.074
2012/02/17,2537.086
2012/02/20,2540.706
2012/02/21,2562.453
2012/02/22,2597.476
2012/02/23,2606.256
2012/02/24,2648.017
2012/02/27,2656.573
2012/02/28,2662.463
2012/02/29,2634.143
2012/03/01,2633.345
2012/03/02,2679.934
2012/03/05,2662.698
2012/03/06,2621.052
2012/03/07,2603.005
2012/03/08,2635.791
2012/03/09,2664.302
2012/03/12,2654.402
2012/03/13,2681.073
2012/03/14,2605.106
2012/03/15,2585.546
2012/03/16,2623.52
2012/03/19,2630.013
2012/03/20,2584.445
2012/03/21,2587.793
2012/03/22,2583.747
2012/03/23,2552.94
2012/03/26,2555.442
2012/03/27,2547.143
2012/03/28,2474.9
2012/03/29,2443.122
2012/03/30,2454.899
2012/04/05,2512.832
2012/04/06,2519.83
2012/04/09,2495.146
2012/04/10,2519.788
2012/04/11,2520.036
2012/04/12,2570.436
2012/04/13,2580.454
2012/04/16,2574.044
2012/04/17,2541.883
2012/04/18,2599.908
2012/04/19,2596.056
2012/04/20,2626.839
2012/04/23,2606.038
2012/04/24,2604.866
2012/04/25,2625.99
2012/04/26,2631.487
2012/04/27,2626.157
2012/05/02,2683.487
2012/05/03,2691.518
2012/05/04,2715.879
2012/05/07,2717.778
2012/05/08,2709.116
2012/05/09,2657.514
2012/05/10,2657.214
2012/05/11,2636.917
2012/05/14,2615.534
2012/05/15,2617.374
2012/05/16,2574.647
2012/05/17,2613.942
2012/05/18,2573.976
2012/05/21,2587.231
2012/05/22,2627.525
2012/05/23,2616.869
2012/05/24,2595.26
2012/05/25,2573.103
2012/05/28,2614.689
2012/05/29,2650.854
2012/05/30,2642.258
2012/05/31,2632.042
2012/06/01,2632.998
2012/06/04,2559.026
2012/06/05,2558.842
2012/06/06,2557.401
2012/06/07,2542.184
2012/06/08,2524.329
2012/06/11,2558.265
2012/06/12,2540.178
2012/06/13,2580.636
2012/06/14,2560.421
2012/06/15,2568.054
2012/06/18,2581.212
2012/06/19,2558.621
2012/06/20,2552.611
2012/06/21,2512.185
2012/06/25,2456.518
2012/06/26,2454.915
2012/06/27,2447.195
2012/06/28,2425.729
2012/06/29,2461.612
2012/07/02,2465.238
2012/07/03,2468.721
2012/07/04,2464.919
2012/07/05,2430.37
2012/07/06,2472.614
2012/07/09,2416.036
2012/07/10,2406.706
2012/07/11,2425.572
2012/07/12,2449.181
2012/07/13,2450.633
2012/07/16,2399.731
2012/07/17,2414.201
2012/07/18,2414.335
2012/07/19,2424.322
2012/07/20,2398.455
2012/07/23,2365.431
2012/07/24,2375.992
2012/07/25,2360.083
2012/07/26,2347.488
2012/07/27,2349.108
2012/07/30,2335.793
2012/07/31,2332.922
2012/08/01,2358.651
2012/08/02,2334.882
2012/08/03,2353.737
2012/08/06,2385.611
2012/08/07,2388.873
2012/08/08,2389.795
2012/08/09,2411.7
2012/08/10,2399.751
2012/08/13,2351.931
2012/08/14,2357.016
2012/08/15,2331.615
2012/08/16,2319.67
2012/08/17,2313.476
2012/08/20,2301.788
2012/08/21,2313.703
2012/08/22,2295.586
2012/08/23,2302.199
2012/08/24,2275.677
2012/08/27,2228.204
2012/08/28,2238.411
2012/08/29,2214.814
2012/08/30,2211.37
2012/08/31,2204.868
2012/09/03,2228.369
2012/09/04,2204.407
2012/09/05,2199.875
2012/09/06,2217.823
2012/09/07,2317.179
2012/09/10,2326.666
2012/09/11,2311.89
2012/09/12,2320.071
2012/09/13,2298.461
2012/09/14,2315.542
2012/09/17,2258.705
2012/09/18,2235.239
2012/09/19,2246.236
2012/09/20,2195.951
2012/09/21,2199.063
2012/09/24,2215.516
2012/09/25,2210.154
2012/09/26,2184.891
2012/09/27,2251.717
2012/09/28,2293.106
2012/10/08,2270.054
2012/10/09,2320.157
2012/10/10,2324.117
2012/10/11,2302.533
2012/10/12,2304.531
2012/10/15,2294.857
2012/10/16,2298.162
2012/10/17,2300.803
2012/10/18,2336.077
2012/10/19,2332.47
2012/10/22,2341.592
2012/10/23,2312.077
2012/10/24,2307.779
2012/10/25,2291.239
2012/10/26,2247.907
2012/10/29,2235.854
2012/10/30,2239.882
2012/10/31,2254.82
2012/11/01,2297.884
2012/11/02,2306.774
2012/11/05,2301.88
2012/11/06,2292.206
2012/11/07,2287.505
2012/11/08,2245.405
2012/11/09,2240.924
2012/11/12,2251.848
2012/11/13,2212.44
2012/11/14,2223.11
2012/11/15,2193.623
2012/11/16,2177.24
2012/11/19,2174.985
2012/11/20,2164.881
2012/11/21,2194.896
2012/11/22,2177.546
2012/11/23,2192.676
2012/11/26,2175.599
2012/11/27,2150.638
2012/11/28,2129.161
2012/11/29,2115.676
2012/11/30,2139.661
2012/12/03,2108.85
2012/12/04,2131.473
2012/12/05,2207.878
2012/12/06,2203.602
2012/12/07,2246.757
2012/12/10,2271.046
2012/12/11,2258.5
2012/12/12,2267.767
2012/12/13,2242.635
2012/12/14,2355.865
2012/12/17,2366.7
2012/12/18,2368.12
2012/12/19,2371.109
2012/12/20,2384.816
2012/12/21,2372.002
2012/12/24,2381.217
2012/12/25,2448.395
2012/12/26,2457.619
2012/12/27,2444.594
2012/12/28,2480.049
2012/12/31,2522.952
2013/01/04,2524.409
2013/01/07,2535.985
2013/01/08,2525.33
2013/01/09,2526.126
2013/01/10,2530.569
2013/01/11,2483.23
2013/01/14,2577.725
2013/01/15,2595.856
2013/01/16,2577.092
2013/01/17,2552.758
2013/01/18,2595.439
2013/01/21,2610.898
2013/01/22,2596.898
2013/01/23,2607.456
2013/01/24,2582.755
2013/01/25,2571.674
2013/01/28,2651.863
2013/01/29,2675.866
2013/01/30,2688.711
2013/01/31,2686.882
2013/02/01,2743.324
2013/02/04,2748.028
2013/02/05,2771.675
2013/02/06,2775.844
2013/02/07,2759.87
2013/02/08,2771.725
2013/02/18,2737.471
2013/02/19,2685.606
2013/02/20,2702.635
2013/02/21,2610.549
2013/02/22,2596.604
2013/02/25,2604.96
2013/02/26,2567.595
2013/02/27,2594.677
2013/02/28,2673.327
2013/03/01,2668.836
2013/03/04,2545.715
2013/03/05,2622.807
2013/03/06,2650.202
2013/03/07,2619.479
2013/03/08,2606.927
2013/03/11,2592.372
2013/03/12,2555.615
2013/03/13,2527.486
2013/03/14,2534.273
2013/03/15,2539.873
2013/03/18,2502.493
2013/03/19,2525.097
2013/03/20,2610.174
2013/03/21,2614.988
2013/03/22,2618.308
2013/03/25,2613.097
2013/03/26,2575.05
2013/03/27,2583.53
2013/03/28,2499.302
2013/03/29,2495.083
